"64","I find mi ned. I fahr zruck zur Station."
"65","I fahr weiter zruck zur Station."
"66","Filter is durch. Zeit zum Tauschn."
"67","Seitenbürst’n is abgnutzt. Bitte wechseln."
"68","Hauptbürst’n is abgnutzt. Bitte wechseln."
"69","Weg is blockiert. Stell mi a Stückl weiter hi."
"70","Nimm des Wischpadl runter und mach’s sauber."
"71","Laser-Sensor spinnt. Putzn und nochmal probiern."
"72","Schau amoi, ob d’Laser-Abdeckung klemmt."
"73","Kantensensor spinnt. Bitte reinigen."
"74","Hindernis-Sensoren putzn, bittschee."
"75","Filter is no nass oder zua. Lass’n trockna / reinigen."
"76","Fleckerl-Reinigung geht los."
"77","Start mi bitte ned auf Teppich."
"78","3D-Hindernis-Sensor putzn, bittschee."
"79","3D-Sensorfehler. Neustartn oder Service."
"80","3D-Sender spinnt. Neustartn oder Service."
"81","Ultraschall-Sensorfehler. Neustartn oder Service."
"82","I kartier jetz d’Wohnung."
"83","Kartierung lafft."
"84","Kartierung fertig."
"85","Position passt. I kartier weiter."
"86","Kartierung hod ned klappt. I start neu."
"87","Akku schwach. I fahr zruck zur Station."
"88","Fernsteuer-Modus an."
"89","I lad weiter."
"90","I mach weiter mit da Reinigung."
"91","Frischwasser fehlt. Setz den Tank ein, bittschee."
"92","Dreckwasser-Tank fehlt. Setz’n ein, bittschee."
"93","Z’wenig Frischwasser. Füll amoi nach."
"94","Dreckwasser-Tank vui. Bittschee ausleern."
"95","Wisch-Waschbrettl fehlt. I komm ned zur Station zruck."
"96","Wisch-Waschbrettl lafft über. Schau den Ablauf an."
"97","Staubbeutel fehlt. Bitten einsetzen."
"98","Staubbeutel vui. Bitte ausleern."
"99","Deckel vo da Station is no offen. Bitte zumacha."
"100","Luftkanal blockiert. Schau amoi nei."
"101","Deckel off’n oder Beutel fehlt. Bitte zumacha / Beutel einsetzn."
"102","Beutel vui oder Luftkanal zua. Wechseln oder reinigen."
"103","Waschbrettl drin. I mach weiter."
"104","Waschbrettl fehlt. Bitte richtig einsetzn und einrasten."
"105","I fang (no amoi) o zum Saugn."
"106","I wasch grad des Wischpadl."
"107","I schleuder des Wischpadl aus."
"108","Wasserstand am Waschbrettl spinnt. Bitte sauber macha."
"109","Dreckwasser-Tank zickt. Schau ob er drin is und leer’n."
"110","Auto-Entleerung startet."
"111","Wischpadl fehlt. Bitte aufstecka, bevor i weiter mach."
"112","Stell mi zruck auf d’Waschstation, bittschee."
"113","Fertig. Bitte den Dreckbehälter leern."
"114","Wischpadl drauf."
"115","Wischpadl runter."
"116","Kindersperre an. Knöpfe san lockt."
"117","Kindersperre aus. Knöpfe san frei."
"118","Knöpfe san lockt. Dock-Knopf lang drucka zum Entsperrn."
"119","Knöpfe san lockt."
"120","Knöpfe san frei."
"121","Handy verbunden. Geh zruck in d’App und wart kurz."
"122","I positionier mi dauernd – wart a bissl."
"126","I fang jetz o zum Saugn."
"127","I mach a Fleckerl-Saugung."
"128","I mach a Fleckerl-Wischung."
"129","Zeitplan-Saugung startet."
"130","Zeitplan-Wischung startet."
"131","Fleckerl-Saugung startet."
"132","Fleckerl-Wischung startet."
"133","Zimmer-Saugung startet."
"134","Zimmer-Wischung startet."
"135","Zonen-Saugung startet."
"136","Zonen-Wischung startet."
"137","I saug weiter."
"138","I wisch weiter."
"139","I fahr zruck zur Station zum Selber-Reinign."
"140","Neue Umgebung gmerkt. I fahr zruck zur Waschstation."
"141","Wischpadl-Fehler. Schau und mach’s sauber."
"142","Wischpadl abgnutzt. Zeit zum Wechseln."
"143","Saugn fertig."
"144","Wischen fertig."
"145","Position passt. I saug weiter."
"146","Position passt. I wisch weiter."
"148","I fahr zur Station zum Selber-Reinign."
"149","I kumm ned hi. Räum amoi Hindernisse weg."
"150","I kumm ned hi. No-Go-Zonen im Weg – bitte löschen."
"151","Weg blockiert. Räum rund um mi auf, bittschee."
"152","Weg blockiert. No-Go weg oder schieb mi raus."
"153","I steh in ana No-Go-Zone. Schieb mi raus."
"154","Z’oft druckt. Wart a bissl und probier’s no amoi."
"155","I fahr zruck zur Lade- und Wisch-Station."
"156","Wisch-Schal’n/Tray fehlt. Bitte einsetzn."
"157","I bin eh scho auf da Station."
"200","Pfiat eich!"
